"('map', 0.9977001547813416, (1122.83837890625, 197.8759765625, 199.9331817626953, 214.29672241210938))","('dice', 0.9878913164138794, (486.3595886230469, 128.88360595703125, 64.42784118652344, 107.289306640625))","('ball', 0.964714765548706, (483.2498474121094, 688.5216674804688, 124.8490982055664, 64.10448455810547))","('face', 0.9169629812240601, (348.79107666015625, 343.3682861328125, 80.4169921875, 103.65885162353516))","('key', 0.8846212029457092, (774.0880737304688, 140.62184143066406, 129.52967834472656, 60.96021270751953))","('cards', 0.7840698957443237, (771.6171264648438, 644.7626342773438, 118.71086120605469, 114.12525939941406))"
"('map', 0.9989450573921204, (1122.91943359375, 196.81832885742188, 198.8136444091797, 213.35704040527344))","('dice', 0.9839842319488525, (487.68072509765625, 128.47276306152344, 65.06010437011719, 110.41162872314453))","('face', 0.9701137542724609, (351.05841064453125, 345.59051513671875, 80.57420349121094, 108.14398193359375))","('ball', 0.9321919679641724, (485.40643310546875, 687.4271850585938, 121.56310272216797, 63.28035354614258))","('key', 0.8926929831504822, (775.9640502929688, 140.68890380859375, 126.96234130859375, 60.91558074951172))"
"('map', 0.9991551041603088, (1124.5216064453125, 193.09803771972656, 198.61959838867188, 218.043701171875))","('face', 0.9792572855949402, (354.3076171875, 344.4031982421875, 83.68170928955078, 105.50352478027344))","('ball', 0.9652351140975952, (497.0031433105469, 686.9083862304688, 115.35912322998047, 65.22535705566406))","('dice', 0.9501730799674988, (488.9098815917969, 126.81442260742188, 63.212547302246094, 109.37869262695312))","('key', 0.9266956448554993, (779.45849609375, 135.13604736328125, 114.96601867675781, 51.56831741333008))","('cards', 0.4311254918575287, (775.1973876953125, 643.3419799804688, 103.57937622070312, 115.00630950927734))"
"('map', 0.9990496635437012, (1128.4959716796875, 188.3675079345703, 199.591796875, 212.5771484375))","('dice', 0.9713369607925415, (495.27752685546875, 121.52639770507812, 61.088470458984375, 113.91647338867188))","('face', 0.9705461263656616, (357.6843566894531, 342.4000549316406, 87.3344497680664, 104.34439849853516))","('ball', 0.9414249062538147, (498.2232971191406, 686.5205688476562, 115.42074584960938, 68.42237091064453))","('key', 0.7811843752861023, (779.163330078125, 131.5640869140625, 132.9904327392578, 61.69384765625))"
"('map', 0.9989128112792969, (1130.55322265625, 187.15167236328125, 197.60389709472656, 212.8887481689453))","('ball', 0.9882638454437256, (501.0847473144531, 683.787841796875, 112.03788757324219, 72.73750305175781))","('dice', 0.9842811822891235, (496.8639831542969, 118.09013366699219, 63.49094772338867, 116.16327667236328))","('face', 0.9762037396430969, (361.98541259765625, 339.1400146484375, 88.68811798095703, 101.18962860107422))","('key', 0.7691707015037537, (781.9454956054688, 128.09246826171875, 126.85389709472656, 62.421077728271484))"
"('map', 0.9968929290771484, (1133.35888671875, 185.8757781982422, 197.45919799804688, 211.3867950439453))","('ball', 0.9950693845748901, (502.4956970214844, 682.0933227539062, 110.03950500488281, 76.2282485961914))","('dice', 0.9949031472206116, (498.072509765625, 116.52545166015625, 64.93315124511719, 115.03438568115234))","('face', 0.9291498064994812, (365.8662414550781, 337.5271301269531, 89.7773666381836, 101.01685333251953))","('key', 0.6579731106758118, (790.8645629882812, 126.45381927490234, 127.90345764160156, 61.8597526550293))"
"('map', 0.9978805780410767, (1134.7099609375, 183.32574462890625, 194.16073608398438, 212.36964416503906))","('ball', 0.9926106929779053, (503.2906494140625, 680.5764770507812, 114.48147583007812, 79.6236572265625))","('dice', 0.9909231662750244, (500.22564697265625, 113.28868865966797, 65.66648864746094, 115.31558227539062))","('face', 0.8591464161872864, (370.1182556152344, 329.6415710449219, 88.72059631347656, 90.42941284179688))","('key', 0.8245197534561157, (790.7843627929688, 124.10986328125, 125.46021270751953, 62.86459732055664))"
"('map', 0.9976241588592529, (1138.8990478515625, 181.85348510742188, 197.8935546875, 209.9979705810547))","('ball', 0.9946731328964233, (504.02386474609375, 680.5071411132812, 118.37081146240234, 79.44889068603516))","('dice', 0.958828866481781, (501.3124084472656, 108.90727996826172, 64.20800018310547, 105.09220123291016))","('key', 0.9113620519638062, (791.7574462890625, 122.28853607177734, 123.10871124267578, 63.80781555175781))","('face', 0.7923986911773682, (371.32379150390625, 328.9409484863281, 91.15776062011719, 91.76029968261719))"
"('map', 0.9978986382484436, (1137.9405517578125, 179.80206298828125, 189.8483123779297, 209.639404296875))","('ball', 0.9896222352981567, (504.8813171386719, 679.86572265625, 117.50341796875, 81.62139892578125))","('dice', 0.9871743321418762, (502.2455139160156, 107.83794403076172, 63.988914489746094, 106.45437622070312))","('key', 0.8616757392883301, (793.3557739257812, 119.97409057617188, 110.99446105957031, 49.87202453613281))","('face', 0.8074016571044922, (373.51141357421875, 328.73956298828125, 88.22380828857422, 93.76770782470703))"
"('map', 0.9960906505584717, (1139.8291015625, 179.10154724121094, 194.25555419921875, 207.1464385986328))","('ball', 0.9917690753936768, (504.5101318359375, 679.4909057617188, 117.2097396850586, 81.68120574951172))","('dice', 0.9910667538642883, (502.6304626464844, 107.96839904785156, 63.18169021606445, 108.38187408447266))","('key', 0.8872489333152771, (794.832275390625, 119.86720275878906, 121.80076599121094, 62.02610397338867))","('face', 0.8647200465202332, (372.5259094238281, 328.4605712890625, 89.08958435058594, 92.7339859008789))"
