"('map', 0.9869363307952881, (1188.0400390625, 325.5878601074219, 158.04437255859375, 187.27833557128906))","('dice', 0.984962522983551, (649.0985107421875, 244.4049835205078, 64.2393569946289, 116.12074279785156))","('face', 0.8024592995643616, (470.3137512207031, 462.4667053222656, 87.29180908203125, 103.66516876220703))","('key', 0.5951163172721863, (899.0823364257812, 267.9051208496094, 91.50238800048828, 51.142032623291016))"
"('dice', 0.9865248799324036, (649.0695190429688, 244.64151000976562, 63.92646026611328, 115.83759307861328))","('map', 0.9851086735725403, (1188.099609375, 325.9262390136719, 157.89010620117188, 187.55287170410156))","('face', 0.8412047028541565, (470.540771484375, 461.8733825683594, 88.52586364746094, 102.07667541503906))","('key', 0.5797507762908936, (898.7590942382812, 267.4237060546875, 92.08506774902344, 52.617515563964844))"
"('map', 0.9846394062042236, (1188.0638427734375, 324.7123718261719, 159.2061767578125, 184.4198760986328))","('dice', 0.9832120537757874, (648.8123168945312, 243.61172485351562, 64.8697738647461, 113.22330474853516))","('face', 0.821516215801239, (470.91656494140625, 459.9755859375, 88.97003936767578, 101.17727661132812))","('key', 0.5423330068588257, (898.6859741210938, 266.9178771972656, 88.10447692871094, 51.76382827758789))"
"('map', 0.9894732236862183, (1188.087646484375, 324.1517639160156, 160.06356811523438, 187.18690490722656))","('dice', 0.9868735074996948, (648.8689575195312, 243.13844299316406, 65.02833557128906, 115.07653045654297))","('face', 0.9107910990715027, (470.09967041015625, 458.85772705078125, 86.25377655029297, 104.35713195800781))","('key', 0.669418454170227, (899.2882080078125, 265.7727966308594, 89.4045639038086, 50.24783706665039))"
"('map', 0.9871408343315125, (1187.749755859375, 323.1767272949219, 160.4940185546875, 188.47088623046875))","('dice', 0.9826169610023499, (649.5410766601562, 241.38340759277344, 66.4405517578125, 112.5755615234375))","('face', 0.9350524544715881, (471.4025573730469, 458.6650695800781, 86.19062805175781, 103.513427734375))","('key', 0.5980664491653442, (899.63427734375, 264.0700988769531, 91.95027160644531, 52.41877746582031))"
"('map', 0.9899570345878601, (1187.1016845703125, 323.27313232421875, 161.27960205078125, 187.18690490722656))","('dice', 0.98677659034729, (649.5787963867188, 241.24818420410156, 66.24617767333984, 112.9058609008789))","('face', 0.9378646612167358, (470.7333068847656, 458.1974792480469, 85.5616455078125, 102.88983917236328))","('key', 0.6997683644294739, (899.47705078125, 263.2296447753906, 90.81248474121094, 51.392356872558594))"
"('map', 0.9913268089294434, (1188.111572265625, 323.2064514160156, 161.47659301757812, 188.5629425048828))","('dice', 0.9825619459152222, (650.1329345703125, 241.62548828125, 66.57044219970703, 112.47940826416016))","('face', 0.9413897395133972, (473.31048583984375, 458.6817321777344, 87.8476791381836, 102.039306640625))","('key', 0.6822454333305359, (899.8745727539062, 263.7535095214844, 92.02887725830078, 51.94105911254883))"
"('map', 0.9861046075820923, (1188.355224609375, 324.4920959472656, 161.6343536376953, 187.32406616210938))","('dice', 0.9807495474815369, (649.5562133789062, 241.4436798095703, 67.2237319946289, 113.01617431640625))","('face', 0.9192835688591003, (473.0935363769531, 458.3423156738281, 89.01348876953125, 100.15122985839844))","('key', 0.6551890969276428, (898.9061889648438, 265.05206298828125, 88.65469360351562, 52.176185607910156))"
"('map', 0.9842900037765503, (1187.95751953125, 325.131103515625, 160.06356811523438, 185.9570770263672))","('dice', 0.9827741384506226, (648.8903198242188, 242.75424194335938, 64.83810424804688, 112.80943298339844))","('face', 0.8958160877227783, (472.70318603515625, 458.8659973144531, 90.75804901123047, 99.40824890136719))","('key', 0.6751089096069336, (898.9431762695312, 265.6408386230469, 87.23761749267578, 51.22950744628906))"
"('map', 0.9899537563323975, (1187.493408203125, 325.1371765136719, 161.0828399658203, 186.4571533203125))","('dice', 0.9826666116714478, (648.7982177734375, 242.2673797607422, 64.90145111083984, 113.48621368408203))","('face', 0.9042514562606812, (471.04937744140625, 459.1978454589844, 90.13975524902344, 97.88199615478516))","('key', 0.6177924275398254, (898.6040649414062, 265.9754333496094, 89.03427124023438, 51.511695861816406))"
"('map', 0.9895550608634949, (1187.4281005859375, 325.4423828125, 161.12216186523438, 186.54818725585938))","('dice', 0.9883976578712463, (648.416748046875, 241.63087463378906, 64.2393569946289, 116.06405639648438))","('face', 0.8786620497703552, (471.68682861328125, 459.7901611328125, 88.26689910888672, 99.8521499633789))","('key', 0.6378726363182068, (897.8827514648438, 265.9819030761719, 88.14212036132812, 51.142032623291016))"
"('map', 0.9877194762229919, (1187.7384033203125, 325.74200439453125, 159.7512664794922, 187.91954040527344))","('dice', 0.9868270754814148, (648.4851684570312, 242.3787384033203, 62.537139892578125, 116.44722747802734))","('face', 0.9270591735839844, (471.6897888183594, 460.1119689941406, 88.69894409179688, 101.6911392211914))","('key', 0.6012057662010193, (897.2998046875, 266.52777099609375, 87.52561950683594, 50.79981994628906))"
"('dice', 0.9889065623283386, (648.3623657226562, 242.69105529785156, 63.12002182006836, 117.41785430908203))","('map', 0.9883666038513184, (1187.7158203125, 325.68524169921875, 162.14816284179688, 188.05722045898438))","('face', 0.9413891434669495, (472.9130554199219, 460.88934326171875, 89.38369750976562, 102.90240478515625))","('key', 0.6087812781333923, (897.580078125, 266.72674560546875, 89.3936538696289, 51.593502044677734))"
"('map', 0.9894773364067078, (1187.54833984375, 325.43646240234375, 159.01194763183594, 189.67103576660156))","('dice', 0.9837737679481506, (648.08154296875, 243.2169647216797, 63.92646026611328, 115.80931854248047))","('face', 0.9204239249229431, (474.1966247558594, 461.7372131347656, 91.44754028320312, 103.29253387451172))","('key', 0.5418716669082642, (897.6746215820312, 266.9646301269531, 92.55839538574219, 52.2016716003418))"
"('dice', 0.9929285645484924, (647.5238647460938, 242.8506317138672, 65.44242858886719, 117.86302185058594))","('map', 0.9916542172431946, (1187.2996826171875, 325.3001403808594, 159.32281494140625, 188.74717712402344))","('face', 0.9340933561325073, (474.1127014160156, 460.83343505859375, 90.94657897949219, 101.88372802734375))","('key', 0.5221511125564575, (897.2493896484375, 267.0299377441406, 91.13452911376953, 51.92204284667969))"
"('map', 0.9883582592010498, (1186.3719482421875, 324.5444030761719, 163.22055053710938, 183.97018432617188))","('dice', 0.9847988486289978, (646.7782592773438, 242.60775756835938, 66.99435424804688, 118.05020904541016))","('face', 0.931145966053009, (472.4722900390625, 460.2030944824219, 90.64732360839844, 101.10319519042969))","('key', 0.5869150757789612, (896.8843994140625, 266.15753173828125, 90.34808349609375, 52.39958572387695))"
"('map', 0.9856659173965454, (1185.5418701171875, 324.596435546875, 169.55685424804688, 183.56639099121094))","('dice', 0.9853312969207764, (645.8297729492188, 241.5525360107422, 66.63548278808594, 120.1729965209961))","('face', 0.9422473907470703, (471.6371154785156, 460.70550537109375, 89.06784057617188, 101.1402359008789))","('key', 0.5137573480606079, (895.9335327148438, 266.4960632324219, 89.78736114501953, 52.94611358642578))"
"('map', 0.9897999167442322, (1177.328369140625, 323.5429992675781, 181.1103057861328, 179.48927307128906))","('dice', 0.9880868792533875, (645.117919921875, 242.40890502929688, 69.88455200195312, 115.71040344238281))","('face', 0.9509072303771973, (471.35845947265625, 460.6867370605469, 89.53659057617188, 103.67150115966797))","('key', 0.48579612374305725, (894.9201049804688, 267.1383056640625, 88.99079895019531, 51.517982482910156))"
"('map', 0.985455334186554, (1177.16015625, 323.8133239746094, 184.09715270996094, 180.411865234375))","('dice', 0.9661992788314819, (644.60498046875, 243.46151733398438, 69.13785552978516, 112.05457305908203))","('face', 0.9145522713661194, (470.3924560546875, 461.0993347167969, 90.07374572753906, 102.64521026611328))","('key', 0.48301956057548523, (893.2312622070312, 266.9770812988281, 90.23785400390625, 51.97277069091797))"
