"('dice', 0.938777506351471, (680.0714111328125, 59.99287796020508, 95.06718444824219, 135.97451782226562))","('face', 0.8769469261169434, (27.37785530090332, 354.0639953613281, 51.84511184692383, 176.05003356933594))","('face', 0.8571286201477051, (1137.8046875, 93.11299133300781, 83.27409362792969, 103.12874603271484))"
"('dice', 0.9387783408164978, (680.323486328125, 60.083621978759766, 94.98599243164062, 137.0075225830078))","('face', 0.8898035883903503, (27.425317764282227, 353.8049621582031, 51.769222259521484, 177.1710968017578))","('face', 0.8700581789016724, (1139.329345703125, 94.7822494506836, 81.76318359375, 104.5611572265625))"
"('dice', 0.9414114356040955, (680.653564453125, 60.23019027709961, 95.31120300292969, 137.5437469482422))","('face', 0.8943108320236206, (1140.154541015625, 95.1250228881836, 83.11161041259766, 103.38082885742188))","('face', 0.8867077231407166, (27.339277267456055, 353.5525207519531, 52.558799743652344, 176.13601684570312))"
"('dice', 0.9321677684783936, (680.8657836914062, 60.59989929199219, 94.6272201538086, 137.1748809814453))","('face', 0.9081878066062927, (1141.2694091796875, 95.70196533203125, 82.88871765136719, 102.1514663696289))","('face', 0.8700546026229858, (27.404556274414062, 353.6006774902344, 52.84185791015625, 174.42431640625))"
"('dice', 0.9447696208953857, (680.500244140625, 61.20791244506836, 94.07438659667969, 135.5767364501953))","('face', 0.8866918683052063, (1143.1083984375, 95.39488983154297, 82.6664047241211, 97.98959350585938))","('face', 0.837022602558136, (27.211580276489258, 370.5475158691406, 52.84185791015625, 192.035888671875))"
"('dice', 0.9350891709327698, (680.591064453125, 60.579261779785156, 93.6733169555664, 138.4534149169922))","('face', 0.859119713306427, (27.204153060913086, 370.6529541015625, 52.66155242919922, 195.2506103515625))","('face', 0.8571555018424988, (1144.6090087890625, 96.72317504882812, 82.10323333740234, 96.60887908935547))"
"('dice', 0.913338840007782, (680.5770874023438, 60.46080017089844, 93.53619384765625, 138.2845001220703))","('face', 0.8851484656333923, (1145.1204833984375, 97.72191619873047, 82.12327575683594, 98.22911071777344))","('face', 0.8327040076255798, (27.071842193603516, 370.6882019042969, 52.66155242919922, 195.82347106933594))"
"('dice', 0.9311822652816772, (680.8657836914062, 60.18351364135742, 92.49161529541016, 138.52102661132812))","('face', 0.8835581541061401, (1143.721435546875, 98.01547241210938, 77.52529907226562, 99.20216369628906))","('face', 0.8453471064567566, (27.175918579101562, 371.2476501464844, 52.89348602294922, 196.39801025390625))"
"('dice', 0.9369518756866455, (680.5492553710938, 60.65385437011719, 93.7533950805664, 138.0820770263672))","('face', 0.8215494155883789, (1143.2823486328125, 99.73020935058594, 77.18536376953125, 96.8361587524414))","('face', 0.8049288988113403, (27.413454055786133, 371.36029052734375, 52.713008880615234, 197.1667022705078))"
"('dice', 0.9378684163093567, (680.3661499023438, 61.28009796142578, 96.84759521484375, 138.35203552246094))","('face', 0.8049275279045105, (27.691879272460938, 371.48809814453125, 52.58446502685547, 196.01478576660156))","('face', 0.6644790768623352, (1139.53759765625, 101.12389373779297, 74.95687866210938, 94.09844970703125))"
"('dice', 0.9227349758148193, (681.4392700195312, 60.70404052734375, 93.99403381347656, 139.53932189941406))","('face', 0.7897098064422607, (26.754623413085938, 354.8916931152344, 53.28231430053711, 178.03831481933594))","('face', 0.6287943124771118, (1137.8621826171875, 101.67469787597656, 77.50637817382812, 89.76676940917969))"
"('dice', 0.9204757809638977, (681.8955078125, 59.79022979736328, 92.10853576660156, 145.06251525878906))","('face', 0.8024042248725891, (26.044784545898438, 354.2262878417969, 53.46474075317383, 183.51055908203125))","('face', 0.40739506483078003, (1127.3096923828125, 98.02128601074219, 71.84735107421875, 71.20330810546875))"
"('dice', 0.9133419394493103, (681.8773193359375, 59.815616607666016, 93.09195709228516, 142.39573669433594))","('face', 0.7923586368560791, (26.733745574951172, 353.9169616699219, 53.46474075317383, 176.91175842285156))"
"('dice', 0.9204810857772827, (680.6396484375, 60.456756591796875, 93.87936401367188, 142.152587890625))","('face', 0.8646487593650818, (26.399328231811523, 354.14105224609375, 53.10050582885742, 177.77769470214844))","('face', 0.3423001170158386, (1147.35546875, 115.74497985839844, 75.5816650390625, 94.7330551147461))"
"('dice', 0.9422754049301147, (680.6049194335938, 60.57102966308594, 95.1949234008789, 139.6415557861328))","('face', 0.855257511138916, (26.30813980102539, 353.8330993652344, 53.543113708496094, 175.62074279785156))","('face', 0.37088313698768616, (1152.3123779296875, 115.13878631591797, 77.86673736572266, 93.12500762939453))","('key', 0.264300137758255, (1051.62451171875, 96.04181671142578, 139.83290100097656, 85.26744079589844))"
"('dice', 0.9350886344909668, (680.68798828125, 60.69145202636719, 94.5233154296875, 139.5052490234375))","('face', 0.8943129181861877, (26.46507453918457, 353.51861572265625, 53.46474075317383, 178.6478729248047))","('face', 0.4023926258087158, (1164.235595703125, 115.84541320800781, 76.82815551757812, 90.63247680664062))","('key', 0.3074233829975128, (1048.5643310546875, 96.03130340576172, 136.52699279785156, 85.11664581298828))"
"('dice', 0.933168351650238, (680.646484375, 59.68987274169922, 93.49053192138672, 137.5437469482422))","('face', 0.8851543068885803, (27.156599044799805, 353.5379943847656, 54.46602249145508, 177.6041717529297))","('face', 0.5000707507133484, (1165.757568359375, 106.73184204101562, 55.98894119262695, 76.74517059326172))","('key', 0.2776670753955841, (1048.54931640625, 96.11001586914062, 136.24395751953125, 84.33064270019531))"
"('dice', 0.906956672668457, (681.2908325195312, 59.44037628173828, 92.9783935546875, 139.91455078125))","('face', 0.8943619728088379, (26.7069034576416, 353.9631652832031, 53.595428466796875, 183.06307983398438))","('face', 0.6370955109596252, (1169.656494140625, 106.06810760498047, 61.439300537109375, 77.6119155883789))","('key', 0.4238945543766022, (1047.962158203125, 95.9820785522461, 137.1785125732422, 85.83660125732422))"
"('dice', 0.926010012626648, (681.85888671875, 59.743404388427734, 92.00740051269531, 142.4652862548828))","('face', 0.8647002577781677, (26.22288703918457, 354.6430358886719, 53.7526741027832, 179.3470916748047))","('face', 0.4805487096309662, (1172.5916748046875, 104.50992584228516, 59.12166976928711, 76.0736083984375))","('key', 0.42035892605781555, (1047.1129150390625, 95.93666076660156, 135.94493103027344, 84.48519897460938))"
"('dice', 0.9249292612075806, (682.2186889648438, 59.51188278198242, 92.4013442993164, 142.88327026367188))","('face', 0.8851637840270996, (26.483001708984375, 353.7578430175781, 53.7526741027832, 177.69091796875))","('face', 0.7048817276954651, (1187.02587890625, 102.68080139160156, 79.59661865234375, 99.82777404785156))","('key', 0.4718720018863678, (1046.228759765625, 94.3066177368164, 131.68194580078125, 80.57206726074219))"
"('dice', 0.8913953900337219, (682.6587524414062, 59.743404388427734, 89.58031463623047, 141.28759765625))","('face', 0.8391079306602478, (26.851511001586914, 354.0912780761719, 53.23030471801758, 174.50949096679688))","('face', 0.7999497056007385, (1195.414794921875, 100.76487731933594, 78.34345245361328, 98.76717376708984))","('key', 0.6026747226715088, (1046.4014892578125, 94.19596099853516, 134.0171356201172, 82.28165435791016))"
"('dice', 0.9108297824859619, (682.9959716796875, 59.75417709350586, 88.68811798095703, 141.21864318847656))","('face', 0.894317626953125, (1201.22216796875, 100.87691497802734, 78.51578521728516, 97.71187591552734))","('face', 0.8590927720069885, (26.560657501220703, 354.3765563964844, 52.048030853271484, 174.42431640625))","('key', 0.5871315002441406, (1045.4493408203125, 94.82022094726562, 131.63372802734375, 81.22383117675781))"
"('face', 0.9413447380065918, (1204.811279296875, 102.12792205810547, 78.765380859375, 104.8167495727539))","('dice', 0.9193193316459656, (682.8510131835938, 59.682777404785156, 89.67878723144531, 140.42787170410156))","('face', 0.8369858860969543, (26.53228759765625, 354.6049499511719, 51.391441345214844, 178.03831481933594))","('key', 0.6166964173316956, (1045.2769775390625, 94.45360565185547, 129.7195587158203, 80.23835754394531))"
"('face', 0.9269773960113525, (1207.64013671875, 102.68358612060547, 77.75276184082031, 108.02523803710938))","('dice', 0.9069497585296631, (681.9623413085938, 59.73982238769531, 91.22455596923828, 140.42787170410156))","('face', 0.8073594570159912, (26.754623413085938, 354.199462890625, 52.3538932800293, 177.77769470214844))","('key', 0.6290761828422546, (1045.59716796875, 94.19759368896484, 130.14781188964844, 78.8691177368164))"
